Epoch,train_rmse,r2_train,valid_rmse,r2_valid
1,0.08734428,0.8770522645592662,0.058506045,0.944722596768635
2,0.057749666,0.9462534669748592,0.053754736,0.9533362384326672
3,0.05348802,0.953893227573436,0.052489575,0.955506925814214
4,0.05118099,0.9577847708465146,0.048983563,0.9612522086483934
5,0.049491905,0.96052518601545,0.04801575,0.962768219096942
6,0.048197027,0.9625637719036384,0.046276905,0.9654160275855916
7,0.04712867,0.964204994642037,0.045463238,0.9666214921904978
8,0.0462331,0.9655524954217536,0.044526566,0.96798269254753
9,0.04550454,0.9666296034768392,0.044279855,0.9683365319463036
10,0.04484939,0.9675836014298074,0.043374617,0.9696179145673792
11,0.044245258,0.9684510270752964,0.043945454,0.968812950355636
12,0.043740135,0.9691672581890968,0.04247597,0.9708638073286112
13,0.04325457,0.9698480290346192,0.04235188,0.9710337929473156
14,0.042797476,0.9704819028935296,0.041742656,0.971861142798934
15,0.042398687,0.971029469072788,0.041522115,0.9721577055145004
16,0.042022794,0.9715408637132074,0.041140255,0.972667449196748
17,0.041688982,0.97199118813412,0.040576056,0.9734119849630956
18,0.041340847,0.972457042148876,0.040539596,0.9734597399555172
19,0.04103002,0.9728696813899476,0.040486135,0.9735296940102856
20,0.040728644,0.9732667213814552,0.04080215,0.9731148624627942
21,0.040451996,0.9736286875942342,0.040082615,0.9740547144826224
22,0.04021579,0.9739357537722436,0.039802656,0.9744158881097577
23,0.039937377,0.9742954002764522,0.03975277,0.9744799726682908
24,0.03971207,0.974584597170833,0.03913382,0.9752684834348336
25,0.039488625,0.9748697770158968,0.039216183,0.9751642762981608
26,0.03924861,0.9751743598844812,0.039355256,0.9749878126591895
27,0.039041117,0.975436172373946,0.038725678,0.975781663911604
28,0.038819697,0.9757139878327248,0.038841765,0.975636247664359
29,0.038633127,0.9759468632622064,0.03865763,0.9758667005031988
30,0.03843448,0.9761935924971376,0.038440406,0.9761371605225768
31,0.038259476,0.9764098971975974,0.03892501,0.9755316955684616
32,0.038051926,0.9766651295568028,0.038581826,0.9759612545541566
33,0.03789683,0.97685498505409,0.039605305,0.9746689642782208
34,0.037714735,0.9770768489368132,0.03842374,0.9761578480585787
35,0.037554417,0.9772713500273008,0.038344197,0.9762564584809958
36,0.037408993,0.9774470229986644,0.03842544,0.9761557350378736
37,0.037244014,0.97764550542094,0.038345017,0.9762554427053016
38,0.03707008,0.977853818036709,0.038099054,0.9765590782635394
39,0.036935266,0.9780146089984162,0.03802492,0.976650216727134
40,0.03674926,0.978235502634376,0.037881427,0.9768261054544576
41,0.03661341,0.9783961007146514,0.037898064,0.9768057494033362
42,0.036494475,0.9785362369691892,0.03766971,0.9770844217358716
43,0.036391705,0.978656952305931,0.037497576,0.977293366620824
44,0.036243424,0.9788305097857548,0.037719447,0.9770238721707676
45,0.036115184,0.9789800605021008,0.037146453,0.9777166249263832
46,0.035985176,0.979131126665624,0.037306033,0.9775247578512296
47,0.03584653,0.9792916226735352,0.037369404,0.977448341439869
48,0.03572259,0.9794345638166696,0.03675236,0.9781869338243928
49,0.03560482,0.9795699556010176,0.03685371,0.9780664695559248
50,0.03548037,0.9797125342692546,0.036848053,0.9780731929850484
51,0.035377398,0.97983009618244,0.036826845,0.9780984295710528
52,0.03528095,0.9799399430761364,0.036646936,0.9783118931179138
