Epoch,train_rmse,r2_train,valid_rmse,r2_valid
1,0.0542129,0.940465492791049,0.020622749,0.9914022340278402
2,0.020358933,0.9916039783575984,0.015481565,0.9951546816927144
3,0.017227022,0.9939884843727602,0.01400576,0.9960344275521712
4,0.015494542,0.9951368076463356,0.0129899345,0.9965888056504412
5,0.014318245,0.995847178124526,0.011737652,0.9972148091463036
6,0.013499516,0.996308521096345,0.0110717965,0.9975218436829034
7,0.012764193,0.9966997230257022,0.010917767,0.9975903154127316
8,0.012233358,0.9969685169398484,0.010605757,0.997726076252974
9,0.011794205,0.9971822598139556,0.010172622,0.99790801607136
10,0.011424424,0.9973561780762308,0.009731074,0.9980856817898944
11,0.011063597,0.9975205433416876,0.010152659,0.9979162182656388
12,0.010763586,0.9976531907229136,0.009603031,0.9981357284094816
13,0.010490052,0.9977709540887372,0.00925592,0.9982680646441002
14,0.010232303,0.9978791474894376,0.008987064,0.9983672182625872
15,0.010014983,0.9979682797588236,0.0089449845,0.998382472412022
16,0.009836031,0.998040237144617,0.008832157,0.998423020371182
17,0.00962951,0.9981216676301392,0.008617192,0.9984988500232038
18,0.009486221,0.9981771517503116,0.008418557,0.9985672584186212
19,0.009324625,0.9982387276959565,0.008393078,0.9985759175853935
20,0.009149491,0.9983042656726736,0.008464346,0.9985516305359166
21,0.009055712,0.9983388490128692,0.008603315,0.998503681100742
22,0.008923825,0.998386882581975,0.00833127,0.9985968147291824
23,0.008803781,0.998429989397612,0.007830883,0.9987603071817772
24,0.008685297,0.9984719661331728,0.00803087,0.99869617976368
25,0.008559419,0.998515936052832,0.008005177,0.9987045090384662
26,0.008457352,0.9985511190912862,0.007726736,0.99879306287817
27,0.008409669,0.998567410872543,0.008717106,0.9984638376725364
28,0.008265906,0.9986159712558196,0.0075198947,0.9988568165481874
29,0.008157105,0.9986521676563012,0.007438282,0.9988814952835112
30,0.008071869,0.9986801893599788,0.0075582503,0.9988451249591488
31,0.0079864515,0.9987079738059212,0.007142422,0.9989687036532604
32,0.007917445,0.9987302041039564,0.0072788824,0.9989289199590008
33,0.008355995,0.998585638791793,0.0075533637,0.9988466174288184
34,0.007793491,0.9987696528601115,0.007891981,0.9987408874365614
35,0.0077116513,0.9987953557883228,0.0073912456,0.9988955962180688
36,0.0077047325,0.9987975168123232,0.006889374,0.999040484580305
37,0.0075857933,0.9988343561917544,0.007035311,0.9989994035052444
38,0.0075366036,0.9988494233715784,0.00720503,0.9989505444028975
39,0.007512883,0.9988566552501736,0.0070399954,0.9989980700992896
40,0.0075142197,0.9988562485223804,0.006928169,0.9990296477572584
41,0.007398868,0.9988910946282424,0.0071097794,0.9989781086819788
42,0.0073074866,0.9989183174881986,0.006943446,0.9990253636170288
43,0.007268828,0.998929731636188,0.006929801,0.9990291904931629
44,0.0072441823,0.9989369766838132,0.006990374,0.9990121448937408
45,0.0071789823,0.9989560257259624,0.0065597375,0.9991301075726876
46,0.007113059,0.9989751112922282,0.0065475954,0.9991333251668576
47,0.00712889,0.9989705433762686,0.0069211824,0.9990316036842544
48,0.0070557394,0.9989915630147476,0.006850401,0.9990513094365386
49,0.0069919894,0.999009702544486,0.0067288806,0.9990846691005104
50,0.006952077,0.9990209769473511,0.0070527396,0.9989944394549436
51,0.0069233044,0.9990290628097692,0.0064842287,0.9991500191426526
52,0.0068648597,0.9990453865554954,0.0064397845,0.9991616309151814
53,0.006840636,0.999052112765482,0.006347657,0.9991854465846944
54,0.0068046795,0.999062051317808,0.0063309106,0.9991897391939816
55,0.0067411545,0.9990794822378796,0.0062917955,0.9991997204861924
56,0.006712296,0.9990873458826904,0.006372013,0.9991791839993956
57,0.006666325,0.9990998047208272,0.0062798597,0.9992027538637692
58,0.006627294,0.9991103151646092,0.006210766,0.9992202007438972
59,0.0066076964,0.999115568734707,0.0064458456,0.9991600520462034
60,0.006542093,0.9991330434513696,0.00638485,0.9991758733090298
61,0.006554607,0.9991297238587104,0.0061656632,0.9992314853293532
62,0.006479959,0.9991494334908604,0.0061901417,0.9992253711664484
63,0.0064641717,0.9991535721808348,0.006162132,0.9992323654143614
64,0.006445732,0.9991583945400672,0.0060978634,0.999248294114135
65,0.006412326,0.9991670957191944,0.0062237065,0.9992169479480324
66,0.0063825697,0.9991748080349684,0.006165012,0.9992316475811746
67,0.0063948464,0.9991716308562144,0.0061456696,0.999236461726836
68,0.006322754,0.9991902028714283,0.006029312,0.9992651001509908
69,0.0063051637,0.9991947016341578,0.005985912,0.999275642146414
70,0.0062771915,0.9992018313631024,0.006027263,0.9992655995944651
71,0.0062475624,0.9992093481822576,0.005936948,0.9992874438781972
72,0.006227901,0.999214316963424,0.005916756,0.9992922826381933
73,0.0062050526,0.9992200716124072,0.0059127044,0.9992932514355178
74,0.0061711706,0.9992285653707988,0.005803634,0.9993190855334204
75,0.006158277,0.999231785992626,0.005793751,0.9993214026508692
76,0.0061414465,0.9992359794845502,0.005832499,0.999312295480806
77,0.006125088,0.999240044509192,0.005795112,0.9993210838576596
78,0.0061072875,0.9992444540619836,0.0056880955,0.999345927004348
79,0.0060813716,0.9992508533524208,0.005795051,0.9993210980444828
80,0.006073471,0.9992527983491564,0.0058263727,0.9993137394586892
81,0.006052401,0.999257974066522,0.0057366453,0.9993347136219772
82,0.006019992,0.9992658992013866,0.0057628965,0.9993286111608576
83,0.006009491,0.9992684581225352,0.0058028107,0.9993192788986032
84,0.0059994236,0.9992709072018544,0.0057103653,0.9993407952347234
85,0.005986824,0.9992739668589616,0.005687983,0.99934595289508
86,0.005974793,0.99927688110458,0.0056831436,0.9993470652639465
87,0.005955212,0.9992816134492336,0.005699375,0.9993433301193652
88,0.0059580905,0.9992809187490844,0.0056927907,0.9993448466624402
89,0.005944092,0.9992842934512568,0.005660695,0.9993522133380508
90,0.005932219,0.9992871500643468,0.0057164067,0.9993393997490349
91,0.0059229215,0.9992893830238488,0.005673596,0.99934925719137
92,0.00591508,0.9992912632080316,0.00566946,0.9993502056438668
93,0.005909239,0.99929266199592,0.005689581,0.9993455851913892
94,0.005903657,0.9992939977483432,0.005675021,0.9993489303851096
95,0.0059045814,0.9992937765783784,0.005704718,0.9993420984804026
